Nama Usaha;Alamat;Kdkec;Kddesa
KEPLER PONSEL;JL KOL LIBERTY MALAU;Pangururan;Pardomuan I
POLINDES <SANTI>;BONAN DOLOK;Sianjur Mulamula;Bonan Dolok
WARUNG KOPI<AKDEN>;PINTU BATU DESA RIANIATE;Pangururan;Rianiate
CU.SATAHI;JL USKUP AGUNG SUGIOPRANOTO;Pangururan;Pardomuan I
KEDAI KOPI <NAUDUR>;SIMPANG 4 DUSUN 3 PARSAORAN 1;Pangururan;Parsaoran I
DEPOT ISI ULANG AIR VED WATER;JALAN SIMANINDO DUSUN 3;Pangururan;Parsaoran I
SMA ADVENT;JL. LINTAS SAMOSIR DUSUN 2;Palipi;Sigaol Simbolon
LOKET LISTRIK (BETTY);PASAR NAINGGOLAN;Nainggolan;Nainggolan
PAUD BONA PASOGIT SIPIRA;HUTAGODANG;Onan Runggu;Sipira
JODHA, UD;LUMBANHARO DESA SIBO NOR OMPURATUS;Nainggolan;Sibonor Ompu Ratus
TOKO OBAT PARSITABU;JL DI PANDJAITAN;Pangururan;Pardomuan I
WARUNG KELONTONG <RIO>;KAMENTE DUSUN 1;Palipi;Sigaol Marbun
TABO RESTAURANT;JL LINGKAR TUKTUK SOSOR GALUNG;Simanindo;Tuk-Tuk Siadong
SMK N 1 NAINGGOLAN;SIRUMAHOMBAR;Nainggolan;Siruma Hombar
TUKTUK TIMBUL BUNGALOWS;JL LINGKAR TUKTUK SIA LLAGAN PINDARAYA;Simanindo;Siallagan Pindaraya
PUSTU SABUNGAN NIHUTA;SABUNGAN NIHUTA;Ronggur Nihuta;Sabungan Ni Huta
LOUNDRY MANUAL <NUR>;HARIARA TOLU;Pangururan;Parsaoran I
VANESHA HOTEL;TOLPING;Simanindo;Martoba
BENGKEL CINTA KAWAN;JL PUTRI LOPIAN;Pangururan;Pardomuan I
SD N 25;JLN INPRES TUKTUK SI ADONG;Simanindo;Tuk-Tuk Siadong
VILLA SITIOTIO;JALAN AEK RANGAT;Pangururan;Siogung - Ogung
SMP N 3 LONTUNG;PARDOMUAN;Simanindo;Pardomuan
SMK KARYA JAYA;JALAN TANAH LAPANG;Pangururan;Pasar Pangururan
BATU BATA LIBERA;KAMENDETE DUSUN I;Palipi;Sigaol Marbun
SAMOSIR RESTAURANT;JLN LINGKAR TUK-TUK SIADONG;Simanindo;Ambarita
BAGUS BAY hoME sTAY;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
MS, UD;KIOS NO 4-5 PEKAN INPRES;Pangururan;Pardomuan I
LEKJON RESTAURANT;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
PAUD TUNAS BANGS A;LUMBAN TONGA TONGA;Harian;Hariara Pohan
HK BAKMIE (SAUT);JL.DR HADRIANUS SINAGA;Pangururan;Pintusona
USAHA FOTOCOPY <ERNA>;JL SIMANINDO DUSUN 3 PANGURURAN;Pangururan;Parsaoran I
PUSKESDES <MEY>;LUMBAN SIDAURUK;Simanindo;Ambarita
PAUD HONEY KIDS;JL LINGKAR TUKTUK PIN DARAYA;Simanindo;Siallagan Pindaraya
KILANG PADI OP EVA;LONDUT DUSUN 2;Sitio-tio;Tamba Dolok
TOKO OBAT SEHATI <TOGA>;TOLPING;Simanindo;Tomok Parsaoran
TOKO DEVOSIONAL;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
HOTEL DAINANG;JL. PUTRI LOPIAN PARDOMUAN I;Pangururan;Pardomuan I
RUMAH SAKIT HKBP;SIRUMAHOMBAR;Nainggolan;Siruma Hombar
LOKET PEMBAYARAN <AMOR>;ALNGIT LUMBAN PASIR;Pangururan;Lumban Suhi Suhi Toruan
PANGLONG PARMAN ARTHA;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
HOTEL CAHAYA;JL PUTRI LOPIAN;Pangururan;Pardomuan I
CU ST JOSEP;PONDOK BULU;Palipi;Urat II
YAYASAN SANTO PETRUS;SIBATUARA DUSUN 1;Palipi;Urat Timur
PUSKESMAS PEMBANTU PARDOMUAN;PARDOMUAN;Simanindo;Pardomuan
USAHA ROTI PARSAORAN 1;SITANGGAN BAU;Pangururan;Parsaoran I
PENJAHIT CACA (ADEL);JL NAHUM SITUMORANG;Pangururan;Pardomuan I
PRIMA HOTEL;LUMBAN BOLAK;Pangururan;Situngkir
UD.HARIS;JL.DI. PANDJAITAN;Pangururan;Pardomuan I
KLINIK <HOTNIDA>;JL SIMANINDO DSN 3;Pangururan;Parsaoran I
HORAS FAMILY SPEDBOAT;JLN LINGKAR TUK TUK SIADONG;Simanindo;Dosroha
KILANG PADI (NARIS);SITANGGANG BAU DSN 1;Pangururan;Parsaoran I
CAROLINA RESTAURANT;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
APOTEK NASIONAL;JL KOLONEL LIBERTY MALAU;Pangururan;Pardomuan I
TOKO SEMBAKO (TEMSI);JALAN AEK RANGAT HUTA PARIK;Pangururan;Siogung - Ogung
SD SW. ADVENT LIMBONG;DESA SARIMARRIHIT;Sianjur Mulamula;Sarimarrihit
KILANG PADI (PITTA RAJA);BONAN DOLOK;Sianjur Mulamula;Bonan Dolok
PAUD DESA ONAN RUNGGU;ONAN RUNGGU;Onan Runggu;Onanrunggu
STERA SALON;JL DIPONEGORO;Pangururan;Pardomuan I
PENGINAPAN KENCANA;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
FAJAR JAYA, UD;JL NAHUM SITUMORANG;Pangururan;Pardomuan I
DEPOT WATER PARSAULIAN (ATHMEN);JL PULO SAMOSIR;Pangururan;Pasar Pangururan
SETIA JAYA MOTOR;JL SAMPE HORAS;Palipi;Sigaol Marbun
USAHA JUAL KUE PESANAN <JUNITA>;LUMBAN NAINGGOLAN DUSUN 3;Pangururan;Parsaoran I
SANGGAR SENI PAGABE;DESA LUMBAN BAGAS;Pangururan;Huta Tinggi
KONTRAKTOR SILALAHI;JL RONGGURNIHUTA;Pangururan;Pardomuan I
LAUNDRY PAKAIAN <SOSDA>;JALAN DR FL TOBING PANGURURAN;Pangururan;Pasar Pangururan
KB CEMERLANG;SOSOR PARDOMUAN NAULI;Ronggur Nihuta;Lintong Ni Huta
JUAL TAS ONLINE <IDA>;SITANGGANG BAU DSN I;Pangururan;Parsaoran I
SD NEG 16 PARMONANGAN;PARMONANGAN;Pangururan;Parmonangan
WARUNG KOPI <TOMU LASMA>;SIBAGANDING;Nainggolan;Sibonor Ompu Ratus
ASRAMA SANTA MARIA PALIPI;SOSOR NAING GOLAN;Palipi;Palipi
SD N II SIMBOLON;SIMBOLON;Palipi;Simbolon Purba
